lang,text
fra,Dites-lui un mot de ma part !
fra,"Hormis Tom, tout le monde savait qu'il ne devait pas faire cela."
fra,Tom ignore presque toujours mes conseils.
fra,Donne-moi un exemple.
fra,Mettez-vous en position allongée.
ita,Andiamo a insegnare qualcosa in Norvegia.
ita,Qual è il tuo gioco preferito?
ita,"Giusto per farti sapere, sono un agente dell'FBI."
ita,Ignora la richiesta di Tom.
ita,Quel negozio è chiuso il lunedì.
ita,Scegliete uno o l'altro.
ita,È vero che non ci sono serpenti in Irlanda?
ita,Non hanno visitato il Madagascar.
ita,Non possiamo essere soltanto amici?
ita,"Di che nazionalità sono le nostre sorelle? ""Marocchina."""
ita,Non vado a costruire ospedali in Austria.
ita,Loro mi chiamano capitano.
ita,Un inglese non userebbe quella parola.
ita,Mio fratello è professore.
ita,"Finirete nei guai, ed è colpa mia."
ita,Affilano i coltelli.
ita,Te lo comprerò nuovo.
ita,Non volevi andare in Messico.
ita,Non ci piace il formaggio.
ita,Andate a costruire ristoranti in Ucraina.
ita,Dimentichiamoci di loro.
ita,Tom non viene da Boston?
ita,Molti grandi uomini affrontarono grandi difficoltà durante la loro giovinezza.
ita,"Lei ha visto quel film, vero?"
ita,Ci sono molti laghi nell'area in cui vive.
ita,Lei sa dire molto in olandese?
ita,Andate a fare affari in Scozia.
ita,Non andate a costruire mausolei in Irlanda del Nord?
ita,Vedevo i carrelli che scorrevano sulle funi.
ita,Il Giappone ha un ruolo importante nella promozione della pace nel mondo.
ita,Ecco il mio prossimo acquisto!
ita,Non va a lavorare in Grecia.
ita,Non vanno a costruire grattacieli in Irlanda?
ita,"Di che nazionalità erano le tue pazienti? ""Spagnola."""
ita,"Dovresti annotarlo, prima di dimenticartene."
ita,Tom non è ancora stato catturato.
ita,Non avevo idea che foste lì.
ita,Tom ha detto che suo figlio era un bravo atleta.
ita,In quei giorni avevo l'abitudine di passeggiare prima di colazione.
ita,Mi chiedo se Tom sia ancora magro.
ita,Ha bevuto due bicchieri di vino alla festa.
ita,Non impormi le tue opinioni.
ita,Non vado a costruire fabbriche in Grecia.
ita,Perché non porti la moto a far riparare?
ita,"So cosa stai pensando. ""Cosa sto pensando?"""
ita,Stavo già commentando.
ita,Tom non è molto bravo a cantare.
ita,Sarai in grado di vederlo domani.
ita,Mi piace il mio appartamento.
ita,"Prepara la cena per Tom, per piacere."
ita,Aiutami a spostare questa scrivania.
ita,Dovresti consultare il dizionario.
ita,Adesso è più o meno mezzanotte.
ita,Va a costruire fabbriche in Etiopia.
ita,"Ma vergognatevi, fate schifo!"
ita,Penso che dovresti essere a letto.
ita,L'artista è eternamente un ragazzo.
ita,Non vanno a costruire fabbriche in Somalia?
ita,Mi faccio in quattro tutti i giorni per provvedere ai bisogni della mia famiglia.
ita,Gli uomini d'affari vanno spesso a questo ristorante.
ita,Tom è un cantante professionista.
ita,Bisogna manterere la promessa.
ita,"Io ho bisogno di piatti leggeri, perché la mia famiglia andrà a mangiare al parco oggi."
ita,Sono stata così impegnata.
ita,"Io non verrò. - ""Come non verrai?"""
ita,L'estate sta finendo?
ita,Di cosa dobbiamo cibarci?
ita,Sono sorpresa che si ricorda di lui.
ita,Che cosa si aspetta?
ita,Sarebbe meglio se tu leggessi qualche libro in più.
ita,Ti ho rubato il naso!
ita,"No, Dan va a prendere l'autobus."
ita,Ognuno impara a sue spese.
ita,Andate a costruire edifici in Portogallo?
ita,Andate a costruire biblioteche in Regno Unito.
ita,Avete promesso sarete qui.
ita,Stava attraversando la strada.
ita,Tom ha depositato un po' di soldi in banca.
ita,Che cosa ci è successo?
ita,Vai a costruire banche a Malta.
ita,"Di che nazionalità erano i suoi amici? ""Maltese."""
ita,"Per piacere, non dire niente."
ita,"Non c’è divinità se non Dio, Maometto è il Messaggero di Dio."
ita,Voi avete un telefono?
ita,Tom possiede una pizzeria.
ita,È stato molto gentile da parte tua di prestarmi un ombrello.
ita,Vai in vacanza in Germania.
ita,Agli amici di Leo piace passeggiare lungo il litorale.
ita,Non vai a costruire allevamenti in Brasile.
ita,Chi dice che io ho paura di loro?
ita,Non ho né denaro né amici.
ita,"È di buonumore oggi, vero?"
ita,Penso di pensare che se avessi pensato prima di pensare a questa soluzione sarebbe stata una bella pensata!
ita,Questo software non è utile; cancellalo.
ita,Non ne ha mai parlato.
ita,"Di che nazionalità erano le vostre professoresse? ""Finlandese."""
ita,Non sono affari suoi.
ita,Penso che Tom non sarà ultimo.
ita,Dice che non può ricordare le cose.
ita,"Visto che siete qui, potete aiutarmi."
ita,Perché non ha una fidanzata?
ita,Nel 1945 si cancella l'ideologia fascista.
ita,"Di che nazionalità sono le tue dottoresse? ""Irlandese."""
ita,Tom è un tipo molto gentile.
ita,Perché le sta aiutando?
ita,"Ho provato a risolvere il problema, però non ci sono riuscita."
ita,Va a fare nuove conoscenze in Italia.
ita,Vai a costruire case in Lettonia.
ita,Me ne vado tra un minuto.
ita,Le bambine hanno bisogno di lei.
ita,Tom non è dentro ora.
ita,Nulla sembra essere più certo della morte.
ita,Dove volevi portarmi?
ita,Dite loro che non sono qui.
ita,Perché non ci siete andati?
ita,Tom ha pagato il biglietto.
ita,Vorrei che tu lo avessi detto prima.
ita,Sono spaventato adesso.
ita,Voi avete qualche idea su come sia la mia vita?
ita,Ho sentito una fitta allo stomaco.
ita,La farfalla rappresenta anche l’impermanenza delle cose.
ita,Alexandre va spesso al supermercato.
ita,Io provo a non giudicare le decisioni dei miei amici.
ita,Siete sicuri che sia tutto finito?
ita,Non vanno a fare affari in Portogallo.
ita,"Di che nazionalità sono i suoi genitori? ""Boliviana."""
ita,Io e Tom ci sposeremo il prossimo anno.
ita,Non andate a costruire mausolei a Malta?
ita,Ziri dormì tutto il giorno.
ita,Perdo continuamente delle cose.
ita,Almeno mettono una musichetta d'attesa interessante?
ita,Io conosco questo molto bene.
ita,Andiamo a costruire ristoranti in Niger.
ita,Lasciate che faccia tutto da solo.
ita,Non sono così sicura che Tom abbia ragione.
ita,Rifiutò il suo invito.
ita,Ieri abbiamo giocato a baseball.
ita,Il vecchio castello è una rovina.
ita,Voglio che le seguiate.
ita,"Di che nazionalità sono le vostre insegnanti? ""Inglese."""
ita,Tom e Mary si sono sparati.
ita,"Come si dice ""mela"" nella tua lingua?"
ita,Vorrei avere un lavoro part-time al refettorio.
ita,Vuole imparare il berbero?
ita,Purtroppo come sai non potevo andare dal tabacchino.
ita,"I nemici mi temono, mentre gli amici mi amano."
ita,Il primo volo di Orville non è durato molto tempo.
ita,Non va a studiare in Francia.
ita,Si prenda cura di suo nonno.
ita,Volevamo tenerti informato.
ita,Penso che andrai per soldi in Arabia Saudita.
ita,Tutto ciò che può fare è aspettare.
ita,Che succhi di frutta avete?
ita,Sembrava essere colpevole.
ita,"Di che nazionalità erano le sue cugine? ""Paraguaiana."""
ita,Sono sempre i soliti discorsi?
ita,Avresti dovuto vederci correre.
ita,Chi è il tuo musicista preferito?
ita,Tu non devi credermi.
ita,Ha parlato troppo velocemente per la studentessa.
ita,Va a fare amicizie in Finlandia.
ita,Io non sono creativo.
ita,Che cos'ha in mente Tom ora?
ita,Pesava forse trecento chili.
ita,Va a costruire fattorie in Giappone.
ita,Tom e Mary lo faranno se li aiuti.
ita,L'insegnante ha scritto qualcosa sulla lavagna.
ita,Lo farei ancora se fosse necessario.
ita,Lo chiamarono codardo.
ita,Io a volte infrango le regole.
ita,È fiero delle sue figlie.
ita,Io farò qualsiasi cosa per te.
ita,Io ho bisogno della mia privacy.
ita,"Dove va per lavoro? ""A Cipro."""
ita,Nel 1957 vengono firmati a Roma i trattati CEE e CEEA.
ita,La tua situazione è irrisolvibile?
ita,Dovrei aspettarli qui?
ita,Vorremmo prenotare un viaggio per l'America.
ita,Vado a costruire strade in Danimarca?
ita,Io l'ho aiutata a tradurre questa frase così tante volte.
ita,Io farò meglio domani.
ita,Per il momento può bastare.
ita,Andiamo a costruire basi militari in Germania?
ita,La ragazza era in silenzio.
ita,Troverai qualcosa di tuo interesse.
ita,Tom è seduto dall'altra parte del tavolo rispetto a Mary.
ita,Vanno a cercare qualcuno in Argentina?
ita,Tom comprò un po' di patate.
ita,Mamma mia che spettacolo!
ita,Lei legge molto bene.
ita,Non è venuto qui da solo.
ita,Sa chi ha inventato il telegrafo?
ita,Il dado è tratto. Ripeto: il dado è tratto.
ita,Lei ha scambiato una tazza di tè per una bottiglia di vodka.
ita,Io e Tom siamo non fumatori.
ita,"Dove andremo domani? ""In Vietnam."""
ita,Rispettava le precedenze.
ita,Andiamo a costruire grattacieli in Regno Unito.
ita,Amadei considerava intelligenti gli scrittori giovani.
ita,Siamo tutte pronte per quello.
por,Não queríamos ir aos Países Baixos.
por,Eu já tenho o meu chapéu; agora procure você o seu.
por,Sangue e violência fascinam-nas.
por,Onde encontraram Tom?
por,"Deves compartilhar com teus amigos os teus bens e as tuas conquistas, não, porém, as tuas mágoas."
por,Façam o que têm de fazer.
por,Deveríamos dar a ela flores.
por,Seu trabalho foi apenas um gesto de boa vontade.
por,Eu não entendia Francês quando me mudei para cá.
por,Eu lhe dou uma carona até sua casa.
por,Ele fugiu com o diamante.
por,Este campo é pobre em água.
por,Estas tesouras já têm ferrugem.
por,A ponte está prestes a desmoronar.
por,Quem está dirigindo?
por,A esse homem falta coragem.
por,Ele é muito rabugento para comer.
por,Você não faz outra coisa além de comer.
por,Você quer um pouco de pipoca?
por,Grandes gênios têm as mais curtas biografias.
por,Querem mais um pouco de suco de maçã?
por,"Pai lê o jornal, tomando seu café da manhã."
por,Chove muito em Sendai no mês de Julho.
por,Vocês vivem no deserto?
por,Eu não sei o que vai acontecer.
por,A liberdade é inútil a menos que você a use.
por,Quem tem medo fica em casa.
por,Tudo o que eu sei é que ele não quer mais trabalhar com você.
por,Ele disse que foi ele fez isso.
por,Quem é o maior poeta na Inglaterra?
por,Você costuma ler bastante?
por,"Por favor, diga-me como chegar à casa do Tomás."
por,"Minha cara, não se preocupe com isso. Vai dar tudo certo!"
por,O Tom fez isso logo depois do almoço.
por,Eu cometi um pequeno erro.
por,Tom estava bebendo café num copo de isopor.
por,Um grande número de pessoas estava correndo na mesma direção.
por,O Tom decidiu dar para a Mary tudo o que ela pediu.
por,Você tem certeza de que é isso o que você viu?
por,Como você vai fazer isso?
por,"Você me considera uma ameaça, não é mesmo?"
por,"Por ora, estamos empurrando o problema com a barriga."
por,Eles parecem bem cansados.
por,Mas ninguém se mexeu.
por,É mais divertido nas Filipinas.
por,Sei exatamente o que você quer dizer.
por,A professor é simpática.
por,Todo dia águo as flores no jardim.
por,Ela de repente tornou-se famosa.
por,Que se entende por metafísica?
por,Você tem de confiar em você mesma!
por,"Em 1971, Pablo Neruda ganhou o Prêmio Nobel de literatura."
por,O Japão não dispõe de muitos recursos naturais.
por,Tom não sabia como abrir o cofre.
por,O que não se compreende não se pode traduzir.
por,"A bandeira do Brasil tem três cores: é verde, amarela e azul."
por,Eles são ambos bons.
por,Tom e eu vamos estar lá.
por,Tom não tentará novamente.
por,Não gosto de misturar negócios com diversão.
por,Os irmãos estão andando na praia.
por,Um bom trabalhador sempre toma conta de suas ferramentas.
por,Eu não te esquecerei.
por,Tom acha muito mais fácil falar inglês que francês.
por,"Vocês vão comigo, não é?"
por,Não te mandei ir ao supermercado?
por,A fumaça das fábricas pairava sobre a cidade.
por,As ondas do mar batem nas rochas sem parar.
por,José ordenou que os médicos que estavam a seu serviço embalsamassem o corpo de seu pai.
por,Por que você me bateu?
por,Tom e eu nunca mais se falamos.
por,O pai dela é japonês.
por,Tom e Mary estão casados faz mais de trinta anos.
por,Não quer mesmo que eu te leve para casa?
por,Não tinha ninguém na biblioteca.
por,Você fez isso de propósito.
por,"Se chover depois de amanhã, eu ficarei em casa."
por,Tom confessou ter matado a Mary?
por,Por que não escreve em berbere?
por,"A Mary está esperando lá fora, não é?"
por,Os meus pais estão vivos.
por,O que te faz pensar que isso seja dele?
por,Estou com uma depressão.
por,Com o que sonham os cães?
por,Você já viu o Tom comer?
por,"A Patagônia, localizada no sul da América do Sul, é uma região riquíssima em recursos naturais de incomparável beleza."
por,Estou com dor nos dentes.
por,Não posso esperar mais.
por,Essa província era regida por um legado.
por,Tom não conseguia parar de rir.
por,Tom é bom em fazer aviões de papel.
por,Estou procurando o ponto de ônibus.
por,Cheguei aqui aproximadamente às cinco horas.
por,Nem sei quem foi Tiradentes.
por,Eu esperava que você perguntasse isso.
por,Tom desenhou uma maçã.
por,Não tenho ideia do que você está falando.
por,"A senhora está sonhando, em vez de refletir."
por,O advogado decidiu recorrer da sentença.
por,Tom é cego de nascença.
por,Esperei por mais de uma semana.
por,Eu dei para ela outra oportunidade.
por,Meu avô morreu pouco depois de meu nascimento.
por,Nunca mais te falarei do meu primo.
por,Ela piscou rapidamenta para tentar esconder as lágrimas echendo seus olhos.
por,Ele nunca voltou para o Iraque.
por,"Com exceção do Tom, todos sabem por que a mulher dele o deixou."
por,Nós já terminamos o nosso trabalho.
por,"Em um breve momento de genialidade, eu descobri a cura para o envelhecimento."
por,Nunca estudaste checo?
por,Tom me disse que precisava de dinheiro.
por,Ele quer se encontrar com vocês.
por,Tom não vai ver Mary.
por,Ela se sentiu melhor depois de contar tudo a ele.
por,Há quantos anos você estuda francês?
por,Mary viveu em um convento por alguns meses.
por,O Tom respondeu ao e-mail da Mary.
por,Estas são as lâmpadas que vamos trocar.
por,Não posso confiar nesse homem.
por,Vou para a escola às sete.
por,Nunca mais fui a casa dos meus amigos.
por,Chapeuzinho Vermelho pegou e pôs no braço a cesta que sua avó havia entrançado.
por,Tom manteve os olhos fechados.
por,Eu quero a sua receita.
por,"Se meu irmão estivesse lá, saberia o que fazer."
por,Você já fez tudo o que deveria?
por,Dormir é um remédio perfeito.
por,Gostaria de outra xícara de café.
por,Bernardo de Vasconcelos fez oposição ao Regente Diogo Feijó.
por,O nosso amigo Pedro enlouqueceu.
por,Estamos todos no mesmo barco.
por,Esta emissora de TV dedica muito tempo à propaganda.
por,Sempre podemos tentar.
por,Ele tem orgulho de ser bom em matemática.
por,Eu não deveria ler livros desanimadores.
por,Ela tinha muito medo de cobra.
por,Você prefere visitar o Brasil ou a Argentina?
por,Poderia me permitir fazer uma observação?
por,Está nevando a noite inteira.
por,Como me pudeste fazer isto?
por,Ela não pretende ir lá sozinha.
por,O Brasil faz fronteira com todos os países da América do Sul exceto Chile e Equador.
por,Eu sei que Tom tem medo de ser demitido.
por,Tom não quer falar com você.
por,O Tom deveria ter alertado a Mary.
por,Conhecemos a maioria dos vizinhos.
por,Será que os céus falam?
por,Mary disse que poderia levá-lo.
por,Experimentou o bolo?
por,"Se o projeto de lei avançar para a Câmara, isso marcaria a segunda vez que um grupo bipartidário de senadores tentou assegurar dinheiro para a indústria dos semicondutores."
por,Nada lhe é semelhante.
por,Essa série faz o maior sucesso aqui em casa.
por,"Posso pegar esse guarda chuva? ""Não, não pode."""
por,"Posso ir na sua casa mais tarde? ""Sim, claro!"""
por,O dado está lançado.
por,Ela era favorável ao divórcio.
por,Quantas pessoas você conhece bem?
por,A rainha condecorou Tom com o título de cavaleiro.
por,Quero café com leite.
por,Eles passaram semanas pensando numa fórmula de disputa que incluísse as 130 equipes.
por,Venha para o jardim! Você vai gostar muito do seu interior.
por,A senhora deveria explorar seu talento de comediante.
por,Eles não farão nada a respeito.
por,A natação fortalece as pernas.
por,O meu avô foi soldado na guerra.
por,Eu espero ter deixado claro para você.
por,Eu nasci nesse hospital.
por,Ele já terminou os deveres.
por,Como você me chamou?
por,Eu nunca pensei que veria o Tom vivo novamente.
por,Eu não creio que isso ainda esteja funcionando.
por,Yoko interessa-se em colecionar selos.
por,A moeda da Argentina é o peso argentino.
por,Eu posso ir ao seu escritório amanhã?
por,"Não me perturbe agora, pois estou estudando."
por,Estou fazendo uma boneca para Anna.
por,"A beleza da Ana era inquestionável, de facto."
por,"Posso lhe fazer algumas perguntas? ""Perguntas sobre o quê?"""
por,As crianças pegam borboletas.
por,Você já ficou em quarentena?
por,Já sei quem vocês são.
por,"A mãe de Barack Obama, Ann Dunham, era antropóloga."
por,A vontade de voar como um pássaro no céu inspirou a invenção do avião.
por,Em breve aparecerão a lua e as estrelas.
por,Eu tenho olhos na parte de trás da minha cabeça!
por,A despesa é incomportável.
por,Tenho quase certeza de que isso é da sua amiga.
por,As regras são bem rígidas.
por,Você deveria ir na posição oposta.
por,Tom ainda é só um iniciante.
por,De quem é esse jornal?
por,Você não deve passar por cima dos outros para atingir os seus objetivos.
por,A reunião começa às três.
por,Meteu suas ações no mercado americano.
por,As duas respostas são possíveis.
por,Vocês são capazes de descrever o objeto?
por,Tom ficou de castigo por três semanas.
por,"Resumindo, a festa foi esplêndida."
por,Temos o que merecemos.
por,Eles se casaram quando ainda eram novos.
spa,"Los taxis en China son gratuitos, solo tienes que correr rápido."
spa,Déjame dar una vuelta en tu Toyota nuevo.
spa,La casa se encuentra en medio de árboles.
spa,Cuando como mucho por la noche tengo pesadillas.
spa,No voy a dejar que hagas eso.
spa,"¡Desenfunda, cobarde!"
spa,"Visto desde el cielo, el río se parecía a una enorme serpiente."
spa,Bajad cuanto queráis.
spa,Ella quiere ser diferente.
spa,Es difícil culpar a Tom.
spa,¡Tus hijos son unos demonios!
spa,El fallo es el mejor entrenador.
spa,La besé sin decir una palabra.
spa,No se pueden establecer reglas invariables sobre este punto.
spa,¿Cuántas preguntas había en el test?
spa,Los niños siempre están corriendo por la calle.
spa,Cuando vi la rueda suelta en medio de la carretera tuve que frenar en seco.
spa,Ayúdanos y te damos el pasaporte.
spa,"En este discurso, María habla de la memoria y promete enseñar todas las técnicas que la hicieron campeona en memorización."
spa,Los colémbolos son invertebrados diminutos que habitan en diversos ambientes húmedos.
spa,Usted ya no me agrada.
spa,Espero que esto no ocurra otra vez.
spa,"Ahora que lo mencionas, no he visto a Tom recientemente."
spa,Yo sólo quería volver a tener mi antigua vida.
spa,Ella la aterrorizaba.
spa,"Si no lo aguantas, ríndete y haz lo que yo, tu hermana mayor, te pedí."
spa,Pareces bastante duro.
spa,Me gustan las tartas.
spa,Discute sólo por el gusto de discutir.
spa,"El dinero, por sí solo, no proporciona la felicidad."
spa,Su meta en la vida es ser estrella de cine.
spa,No se habla de ratas.
spa,Dejé mi paraguas en el taxi.
spa,Brasil es muy rico; su riqueza es inmensa; el café es una de sus mayores riquezas.
spa,Probablemente llegaré tarde al trabajo.
spa,"Leyendo e intercambiando opiniones, uno adquiere sabiduría y aprende a tolerar diferentes puntos de vista."
spa,La noche del sábado eché una cana al aire.
spa,Nadie le dio importancia a sus palabras.
spa,Creo que voy a conseguir escribir rápido.
spa,Se me durmió la mano.
spa,Algunas estrellas no pueden verse a simple vista.
spa,La moderna literatura finlandesa data de la publicación del Kálevala.
spa,No estoy seguro de que puedas ser de mucha ayuda.
spa,Parece que se debe a un defecto.
spa,"Las crías de saltamontes son una versión pequeña del insecto, no una larva."
spa,¿Le gusta San Francisco?
spa,Tienes talento para decir lo correcto en el momento adecuado.
spa,Me siento desamparado.
spa,He cambiado la bandera.
spa,Hay que cortarlas en rodajas.
spa,Ya te he dicho que no.
spa,Desayuné a las ocho.
spa,Esa bicicleta estática fue un regalo de mi club de fans.
spa,Me parece que mi reloj podría estar estropeado.
spa,Dicen que era una actriz en su juventud.
spa,Pienso que os hayáis ido demasiado lejos.
spa,Fuimos a dar un paseo en el bosque.
spa,Las bayas se consumen más en Francia que en España.
spa,Tom compró unas zanahorias.
spa,Por favor hable más alto.
spa,"Al haber vivido en Tokio, conozco bien la ciudad."
spa,Tom no le teme a nada.
spa,Mary le dijo a Tom: «Empecemos con una frasecita y después ya veremos...»
spa,Tomás trabajaba con María.
spa,Recuerdo esa música.
spa,El dentista me pidió que me quedara quieto.
spa,En la vestimenta destaca su aire desenfadado y desaliñado.
spa,Sus instrucciones no eran buenas.
spa,¿Qué zapatos son demasiado pequeños?
spa,Mary aún no se ha operado de anginas.
spa,Hay que usar la barca para llegar a la isla.
spa,La tela tiene un tacto suave.
spa,Simplemente quiero devolvérselo.
spa,Tendrá que recogerla.
spa,¿Por qué no nos contaste esto antes?
spa,Me alegra que sepáis la verdad.
spa,Apareció con un collar elegantísimo.
spa,Tomás es más rápido de lo que pensás.
spa,Es habitual salir en Nochevieja para celebrar la llegada del Año Nuevo.
spa,No es recomendable dejar el aparato telefónico fuera de la base por mucho tiempo. Se consume mucha batería.
spa,Terminaré en una hora.
spa,El teléfono sonó cada pocos minutos.
spa,Tenés que llamar a Tom.
spa,"Quien llegue último, perderá."
spa,¿Hay alguien en este cuarto?
spa,Necesito hablar dos palabras con usted.
spa,Ellos lo iniciaron hace tiempo y ahora les afecta. Es un efecto búmeran de libro.
spa,Por fin pude hacerlo.
spa,A este cuarto no le llega mucho sol.
spa,Me gusta añadir wakame a las ensaladas que hago.
spa,Mi herida afortunadamente está desapareciendo rápido.
spa,Hablaré en tu favor.
spa,Tom es el más joven en su familia.
spa,El calor se apaga automáticamente cuando la habitación alcanza cierta temperatura.
spa,Decir eso trae mala suerte.
spa,¿Sabes qué color le gusta?
spa,Alguien te dio algo.
spa,Los esperaremos allá.
spa,"No se puede votar por la salida de un dictador, se le debe derrocar."
spa,Quiero comprarme un triturador de basura.
spa,¿A qué conclusiones podemos llegar tras la lectura de este texto?
spa,El teléfono fue inventado por Bell en 1876.
spa,Me gustaría confirmar nuestras reservas.
spa,No hay persona que no quiera a su familia.
spa,Mucha gente cree que la acupuntura puede curar las enfermedades.
spa,No me queda ni un rato para leer.
spa,Tom y Mary dejaron de abrazarse.
spa,He visitado más de 10 países hasta ahora.
spa,¿Puedo ir a jugar afuera?
spa,No te bañes que el mar está hoy con una resaca muy fuerte.
spa,¡El conductor ha dicho que no tenemos frenos!
spa,"¿Qué preferís, té o café?"
spa,Tom hizo el examen realmente bien.
spa,Esta clase de gatos no tiene cola.
spa,No puedo ver por el humo.
spa,El hotel en que vive está en el centro.
spa,"Si te dijera la verdad, estarías sorprendido."
spa,El médico le aconsejó no comer entre comidas.
spa,"En caso de necesidad, cualquiera con la intención de bautizar puede hacerlo, aunque no esté bautizado."
spa,Ella es muy curiosa.
spa,Tom tiene malos modales en la mesa.
spa,¡Eso es todo un logro!
spa,No podía dormir por el dolor de tripa.
spa,Daremos una entrevista por la tarde.
spa,Lo último que vi fue su siniestro rostro.
spa,Mary y sus amigas terminaron la fiesta de pijamas sollozando de emoción.
spa,¿Puedo hacerte algunas preguntas más?
spa,San Crispin es el santo patrón de los zapateros porque se dice que él trabajó como uno de ellos.
spa,Él perdió su vida en un accidente.
spa,Este río es hermoso.
spa,Tom toca la flauta mejor que Mary.
spa,Tu almohada está sucia.
spa,Soy favorable a la democracia.
spa,No puedes crear algo que no puedas imaginar.
spa,"Siendo hijo único, fue el único heredero."
spa,Es interesante jugar al baloncesto.
spa,Puede que mi padre esté dormido.
spa,Vas a tener problemas y es culpa mía.
spa,"¿Por qué? Porque su familia necesitaba el dinero, por eso."
spa,¿Pensáis que estoy gordo?
spa,Él se rompió dos costillas y se perforó el pulmón.
spa,No recuerdo cómo volví a casa.
spa,A Tom no le importa mucho lo que piensen los demás de él.
spa,Me puso muy feliz recibir tu llamada.
spa,En ese momento me pareció una buena idea.
spa,Él partió para Nueva York hace una semana.
spa,Muchos moluscos viven dentro de un caracol porque tienen un cuerpo suave y delicado que necesita protección.
spa,Te aseguro que no vas a poder hacerlo sin ayuda.
spa,¿Por qué no me dices?
spa,Tenemos que reducir el costo a un mínimo.
spa,Ellos la pagan bien.
spa,No seremos nosotros quienes consintamos algo tan subrepticio e injusto.
spa,"La respuesta a la pregunta, quién disparó primero, es crucial."
spa,"Por suerte, el tratamiento fue solo ineficaz y no peligroso."
spa,Usted debe comenzar pronto.
spa,Sus hermanas ambas son bellas.
spa,El trabajo hay que terminarlo sobre la marcha.
spa,Tom quizá sepa algo.
spa,¿Es así como me ves?
spa,Vimos monos en el zoo.
spa,Este es nuestro enésimo intento y aún no lo hemos logrado.
spa,Los estudiantes están en el salón.
spa,"Si te estacionas así, no podré salirme del carro."
spa,¿A qué hora llegó ella al Aeropuerto de Narita?
spa,¿Puedo beber alcohol?
spa,Supe de inmediato que algo no andaba bien.
spa,Siempre juegan al fútbol después de la escuela.
spa,"Su talón aparte, Aquiles era invulnerable."
spa,"En los años 50, los finlandeses fueron mencionados como los poseedores de una de las dietas menos saludables del mundo."
spa,Las hormigas son el plato preferido de los cerdos hormigueros.
spa,No sé dónde encontrarte.
spa,"Tú eres lista, pero yo también."
spa,¿A qué hora salimos mañana?
spa,"Habría ido al cine con todos vosotros, pero desafortunadamente me dolía la cabeza."
spa,Fred habló a su esposa de los objetivos que tenía que cumplir.
spa,Déjame darte un abrazo.
spa,Nunca duermo más de seis horas.
spa,Esta no es mi llave.
spa,Donde más contento estoy es en la escuela.
spa,"No es bueno. ""Sí, en eso tienes razón."""
spa,Las cuentas en el libro fueron escritos para ella.
spa,Hace mucho tiempo que conocemos a Paulo.
spa,El equipo encajó un gol a los veinte minutos.
spa,Copié en mi cuaderno lo que él escribió en la pizarra.
spa,Anoche cenó en mi casa.
spa,¿Cuánto cuesta la manzana?
spa,Tiene una salud delicada.
spa,Tom está jugando con su hijo.
spa,¿Puede decirme por qué Tom está haciendo eso?
spa,Tengo que escribir un informe para el próximo lunes.
spa,Tom trató de convencer a María de quedarse en Boston.
spa,Tu comportamiento no me hace nada de gracia.
spa,Son demasiado peligrosos.
spa,Siempre le da sueño después de comer.
spa,"Así es, es nuestra directora."
spa,Me recuerdo lo que vi.
spa,No hablo francés. Tampoco hablo inglés.
spa,"Seguí así, que lograrás muchas cosas."
spa,Es mejor estar con gente inteligente en el infierno que con tontos en el paraíso.
spa,Me lo encontré mientras estaba en Japón.
